map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
11.859+0.719   1              250            11.8417        0.6787         272.2586       -18.3504       0.00           
11.859+0.719   1              350            11.8412        0.6791         272.2580       -18.3506       2.31           
11.873-0.53    1              250            11.8719        -0.5304        273.3922       -18.9063       0.00           
11.873-0.53    1              350            11.8709        -0.5290        273.3904       -18.9065       6.19           
12.218+0.137   1              250            12.2235        0.1400         272.9497       -18.2761       0.00           
12.218+0.137   1              350            12.2198        0.1377         272.9500       -18.2804       15.68          
12.25+0.393    1              250            12.2517        0.3935         272.7301       -18.1293       0.00           
12.25+0.393    1              350            12.2514        0.3936         272.7299       -18.1295       1.14           
12.25+0.393    2              250            12.2685        0.3831         272.7482       -18.1196       0.00           
12.25+0.393    2              350            12.2691        0.3838         272.7479       -18.1187       3.32           
12.25+0.393    3              250            12.2627        0.4075         272.7228       -18.1129       0.00           
12.25+0.393    3              350            12.2612        0.4085         272.7211       -18.1137       6.49           
12.299-0.126   1              250            12.3072        -0.1346        273.2458       -18.3345       0.00           
12.299-0.126   1              350            12.3084        -0.1342        273.2460       -18.3333       4.55           
12.318+0.489   1              250            12.3191        0.4895         272.6759       -18.0239       0.00           
12.318+0.489   1              350            12.3193        0.4899         272.6756       -18.0236       1.61           
12.321-0.577   1              250            12.3216        -0.5753        273.6609       -18.5328       0.00           
12.321-0.577   1              350            12.3216        -0.5755        273.6611       -18.5329       0.72           
12.337+0.506   1              250            12.3262        0.4799         272.6883       -18.0223       0.00           
12.337+0.506   1              350            12.3253        0.4776         272.6900       -18.0242       8.89           
12.427+0.502   1              250            12.3962        0.4908         272.7137       -17.9558       0.00           
12.427+0.502   1              350            12.3960        0.4911         272.7134       -17.9558       1.30           
12.427-0.702   1              250            12.4156        -0.7084        273.8316       -18.5137       0.00           
12.427-0.702   1              350            12.4167        -0.7075        273.8313       -18.5123       5.12           
12.427-0.702   2              250            12.4525        -0.7500        273.8887       -18.5011       0.00           
12.427-0.702   2              350            12.4527        -0.7493        273.8881       -18.5006       2.62           
12.44-0.055    1              250            12.4504        -0.0681        273.2566       -18.1770       0.00           
12.44-0.055    1              350            12.4508        -0.0684        273.2571       -18.1768       1.80           
12.462-0.149   1              250            12.4638        -0.1482        273.3374       -18.2036       0.00           
12.462-0.149   1              350            12.4634        -0.1471        273.3362       -18.2034       4.21           
12.499-0.177   1              250            12.5010        -0.1771        273.3828       -18.1848       0.00           
12.499-0.177   1              350            12.4998        -0.1780        273.3831       -18.1863       5.40           
12.499-0.269   1              250            12.4996        -0.2697        273.4677       -18.2304       0.00           
12.499-0.269   1              350            12.5008        -0.2681        273.4668       -18.2286       7.20           
13.935-0.539   1              250            13.9393        -0.5368        274.4339       -17.0918       0.00           
13.935-0.539   1              350            13.9386        -0.5360        274.4328       -17.0920       3.83           
13.996-0.846   1              250            13.9787        -0.8366        274.7297       -17.1990       0.00           
13.996-0.846   1              350            13.9783        -0.8357        274.7287       -17.1989       3.55           
13.996-0.846   2              250            13.9698        -0.8120        274.7027       -17.1952       0.00           
13.996-0.846   2              350            13.9697        -0.8119        274.7025       -17.1953       0.51           
13.996-0.846   3              250            13.9989        -0.8479        274.7502       -17.1866       0.00           
13.996-0.846   3              350            13.9984        -0.8470        274.7491       -17.1866       3.71           
13.996-0.846   4              250            14.0103        -0.8651        274.7717       -17.1846       0.00           
13.996-0.846   4              350            14.0118        -0.8630        274.7705       -17.1823       9.29           
13.996-0.846   5              250            14.0165        -0.8744        274.7833       -17.1836       0.00           
13.996-0.846   5              350            14.0178        -0.8742        274.7838       -17.1823       4.73           
13.996-0.846   6              250            14.0115        -0.8536        274.7617       -17.1782       0.00           
13.996-0.846   6              350            14.0124        -0.8552        274.7636       -17.1781       6.61           
13.996-0.846   7              250            13.9989        -0.8248        274.7289       -17.1756       0.00           
13.996-0.846   7              350            14.0000        -0.8243        274.7289       -17.1744       4.35           
14-0.502_70m   1              250            13.9736        -0.4903        274.4081       -17.0395       0.00           
14-0.502_70m   1              350            13.9735        -0.4897        274.4075       -17.0393       2.19           
14.077-0.431   1              250            14.0680        -0.4215        274.3916       -16.9238       0.00           
14.077-0.431   1              350            14.0679        -0.4203        274.3904       -16.9233       4.33           
14.095-0.521   1              250            14.0970        -0.5235        274.4998       -16.9466       0.00           
14.095-0.521   1              350            14.0962        -0.5227        274.4987       -16.9469       4.07           
14.104-0.073   1              250            14.0961        -0.1001        274.1100       -16.7464       0.00           
14.104-0.073   1              350            14.0954        -0.1017        274.1111       -16.7477       6.29           
14.143-0.413   1              250            14.1437        -0.4142        274.4224       -16.8537       0.00           
14.143-0.413   1              350            14.1438        -0.4145        274.4227       -16.8537       1.14           
14.178-0.037   1              250            14.1619        -0.0425        274.0898       -16.6611       0.00           
14.178-0.037   1              350            14.1611        -0.0414        274.0884       -16.6613       4.90           
14.178-0.037   2              250            14.2222        -0.0656        274.1410       -16.6190       0.00           
14.178-0.037   2              350            14.2228        -0.0668        274.1424       -16.6191       4.83           
14.179-0.145   1              250            14.2038        -0.1407        274.2008       -16.6709       0.00           
14.179-0.145   1              350            14.2036        -0.1402        274.2002       -16.6709       1.94           
14.185-0.745   1              250            14.1861        -0.7449        274.7478       -16.9729       0.00           
14.185-0.745   1              350            14.1872        -0.7454        274.7488       -16.9722       4.35           
14.188-0.233   1              250            14.1960        -0.1771        274.2303       -16.6951       0.00           
14.188-0.233   1              350            14.1963        -0.1752        274.2288       -16.6939       6.92           
14.226-0.219   1              250            14.1977        -0.2154        274.2664       -16.7118       0.00           
14.226-0.219   1              350            14.1963        -0.2156        274.2659       -16.7131       5.09           
14.232-0.181   1              250            14.2370        -0.1637        274.2384       -16.6526       0.00           
14.232-0.181   1              350            14.2364        -0.1634        274.2378       -16.6530       2.41           
