map name       source         band [mu]      glon           glat           ra             dec            distance ["]   
28.333+0.063   1              350            28.3562        0.0732         280.7042       -4.0380        4.61   
28.394-0.113   1              250            28.3939        -0.1134        280.8879       -4.0897        0.00           
28.394-0.113   1              350            28.3933        -0.1135        280.8877       -4.0903        2.19  
28.436-0.124   1              250            28.4354        -0.1124        280.9060       -4.0524        0.00           
28.436-0.124   1              350            28.4355        -0.1118        280.9055       -4.0520        2.19 
28.447-0.329   1              250            28.4457        -0.3166        281.0928       -4.1365        0.00           
28.447-0.329   1              350            28.4443        -0.3150        281.0908       -4.1370        7.65  
28.533-0.024   1              250            28.5206        -0.0448        280.8848       -3.9457        0.00           
28.533-0.024   1              350            28.5203        -0.0452        280.8850       -3.9461        1.80  
28.565-0.227   2              250            28.5806        -0.2312        281.0785       -3.9775        0.00           
28.565-0.227   2              350            28.5823        -0.2297        281.0779       -3.9753        8.16    
28.566-0.339   1              250            28.5140        -0.3741        281.1754       -4.1020        0.00           
28.566-0.339   1              350            28.5145        -0.3741        281.1756       -4.1016        1.80    
28.566-0.339   3              250            28.5810        -0.4007        281.2298       -4.0546        0.00           
28.566-0.339   3              350            28.5813        -0.4000        281.2293       -4.0540        2.74    
28.566-0.339   5              250            28.5993        -0.4027        281.2400       -4.0392        0.00           
28.566-0.339   5              350            28.6007        -0.4022        281.2402       -4.0377        5.35 
28.566-0.339   9              250            28.5657        -0.2932        281.1269       -4.0191        0.00           
28.566-0.339   9              350            28.5665        -0.2921        281.1263       -4.0179        4.90   
28.566-0.339   12             250            28.5860        -0.3010        281.1432       -4.0046        0.00           
28.566-0.339   12             350            28.5866        -0.3006        281.1431       -4.0039        2.60   
28.566-0.339   15             250            28.6019        -0.3106        281.1590       -3.9948        0.00           
28.566-0.339   15             350            28.6025        -0.3102        281.1589       -3.9941        2.60  
28.612-0.393   1              250            28.5381        -0.2787        281.1014       -4.0370        0.00           
28.612-0.393   1              350            28.5382        -0.2787        281.1014       -4.0369        0.36   
28.714+0.143   1              250            28.6619        0.1469         280.7786       -3.7324        0.00           
28.714+0.143   1              350            28.6614        0.1467         280.7786       -3.7329        1.94         
28.734-0.304   2              250            28.7446        -0.2952        281.2106       -3.8608        0.00           
28.734-0.304   2              350            28.7449        -0.2945        281.2101       -3.8602        2.74         
28.766-0.289   1              250            28.7690        -0.2891        281.2163       -3.8363        0.00           
28.766-0.289   1              350            28.7692        -0.2888        281.2162       -3.8360        1.30  
28.905-0.534   1              250            28.9113        -0.5490        281.5132       -3.8284        0.00           
28.905-0.534   1              350            28.9122        -0.5487        281.5133       -3.8275        3.42   
28.905-0.534   2              250            28.9714        -0.5068        281.5031       -3.7557        0.00           
28.905-0.534   2              350            28.9718        -0.5066        281.5031       -3.7552        1.61 
28.967-0.492   1              250            28.9821        -0.5220        281.5215       -3.7531        0.00           
28.967-0.492   1              350            28.9797        -0.5214        281.5199       -3.7549        8.91 
28.986+0.024   1              250            28.9866        0.0236         281.0372       -3.4999        0.00           
28.986+0.024   1              350            28.9865        0.0247         281.0362       -3.4995        3.98     
29.026-0.623   1              250            29.0269        -0.6226        281.6317       -3.7591        0.00           
29.026-0.623   1              350            29.0272        -0.6223        281.6316       -3.7587        1.53  
29.071-0.542   2              250            29.0861        -0.5700        281.6119       -3.6824        0.00           
29.071-0.542   2              350            29.0858        -0.5681        281.6100       -3.6818        6.92   
29.071-0.542   4              250            29.1177        -0.5271        281.5881       -3.6347        0.00           
29.071-0.542   4              350            29.1163        -0.5295        281.5896       -3.6371        10.00   
29.103-0.61    1              250            29.1025        -0.6100        281.6550       -3.6861        0.00           
29.103-0.61    1              350            29.1030        -0.6093        281.6546       -3.6853        3.10      
