-------------------------------------------------------------------------------------
    map         source        glon          glat              ra             dec     
  18.204-0.378      1        18.2132        -0.3847       276.3782       -13.2487
  18.204-0.378      2        18.2286        -0.3800       276.3813       -13.2329
  18.232-0.153      1        18.1898        -0.1759       276.1773       -13.1719
  18.232-0.153      2        18.2164        -0.2121       276.2229       -13.1653
  18.232-0.153      3        18.2091        -0.1959       276.2047       -13.1641
  18.232-0.153      4        18.1987        -0.1707       276.1768       -13.1616
  18.232-0.153      5        18.2438        -0.1157       276.1485       -13.0960
  18.244-0.479      1        18.2464        -0.4730       276.4743       -13.2606
  18.244-0.479      2        18.2449        -0.4635       276.4649       -13.2575
  18.246-0.269      1        18.2162        -0.2819       276.2862       -13.1981
  18.246-0.269      2        18.2121        -0.2717       276.2749       -13.1969
  18.246-0.269      3        18.2550        -0.2505       276.2763       -13.1491
  18.246-0.269      4        18.2618        -0.2568       276.2853       -13.1460
  18.261-0.309      1        18.2189        -0.3028       276.3065       -13.2054
  18.261-0.309      2        18.2121        -0.2717       276.2749       -13.1969
  18.261-0.309      3        18.2550        -0.2506       276.2764       -13.1491
  18.261-0.309      4        18.2627        -0.2438       276.2740       -13.1392
  18.261-0.309      5        18.2773        -0.2637       276.2990       -13.1355
   18.28-0.267      1        18.2769        -0.2903       276.3230       -13.1483
   18.28-0.267      2        18.2665        -0.2584       276.2890       -13.1426
   18.28-0.267      3        18.2773        -0.2637       276.2990       -13.1355
  18.287-0.256      1        18.2160        -0.2233       276.2329       -13.1709
  18.287-0.256      2        18.2391        -0.2495       276.2678       -13.1627
  18.287-0.256      3        18.2333        -0.2395       276.2559       -13.1632
  18.287-0.256      4        18.1987        -0.1707       276.1768       -13.1616
  18.287-0.256      5        18.2338        -0.2261       276.2440       -13.1565
  18.287-0.256      6        18.2435        -0.2368       276.2583       -13.1529
  18.287-0.256      7        18.2550        -0.2505       276.2763       -13.1491
  18.287-0.256      8        18.2618        -0.2568       276.2853       -13.1460
  18.287-0.256      9        18.2627        -0.2437       276.2738       -13.1392
  18.287-0.256     10        18.2773        -0.2637       276.2990       -13.1355
  18.287-0.256     11        18.3519        -0.2716       276.3420       -13.0733
  18.326-0.279      1        18.2966        -0.2785       276.3217       -13.1255
  18.326-0.279      2        18.3075        -0.2850       276.3328       -13.1188
  18.341-0.276      1        18.3519        -0.2716       276.3420       -13.0733
  18.355-0.304      1        18.3551        -0.3050       276.3738       -13.0860
  18.366-0.392      1        18.3716        -0.3816       276.4513       -13.1073
   18.41-0.289      1        18.4089        -0.2929       276.3886       -13.0328
   18.41-0.289      2        18.4233        -0.2993       276.4014       -13.0231
   18.472-0.18      1        18.4291        -0.1931       276.3077       -12.9684
   18.472-0.18      2        18.4436        -0.1913       276.3130       -12.9547
   18.472-0.18      3        18.4940        -0.2008       276.3458       -12.9146
   18.472-0.18      4        18.4844        -0.1709       276.3140       -12.9091
   18.472-0.18      5        18.5065        -0.1714       276.3251       -12.8898
  18.486-0.165      1        18.5231        -0.1382       276.3029       -12.8596
  18.493-0.201      1        18.4940        -0.2008       276.3458       -12.9146
  18.513+0.944      1        18.5102         0.9628       275.3002       -12.3548
  18.513+0.944      2        18.5226         0.9569       275.3115       -12.3466
  18.513+0.944      3        18.5167         0.9668       275.2997       -12.3471
  18.513+0.944      4        18.5224         0.9654       275.3038       -12.3428
  18.522-0.139      1        18.5231        -0.1382       276.3029       -12.8596
   18.54-0.163      1        18.5414        -0.1632       276.3344       -12.8551
  18.571-0.435      1        18.5832        -0.4322       276.5985       -12.9437
  18.576-0.367      1        18.5727        -0.3512       276.5199       -12.9152
  18.576-0.367      2        18.5712        -0.3401       276.5092       -12.9114
   18.624-0.07      1        18.5787        -0.1309       276.3230       -12.8071
   18.624-0.07      2        18.5672        -0.0887       276.2792       -12.7975
   18.624-0.07      3        18.6173        -0.1494       276.3582       -12.7816
   18.624-0.07      4        18.5949        -0.0736       276.2788       -12.7660
   18.624-0.07      5        18.6067        -0.0748       276.2855       -12.7561
   18.624-0.07      6        18.6280        -0.0695       276.2909       -12.7348
   18.624-0.07      7        18.6404        -0.0628       276.2908       -12.7207
